Date,Alberta,Saskatchewan,Canada
1/1/2001,73.33651937,,
1/2/2001,72.90640394,,64.08142875
1/3/2001,72.04514848,,
1/4/2001,71.18389303,,
1/5/2001,70.32263757,,
1/6/2001,69.46138211,,58.71770104
1/7/2001,67.45407679,,
1/8/2001,65.44677146,,
1/9/2001,63.43946613,,
1/10/2001,61.4321608,,53.25588067
1/11/2001,62.45727281,,
1/12/2001,63.48238482,,63.65185185
1/1/2002,65.6264945,,
1/2/2002,67.77060418,,
1/3/2002,69.91471385,,
1/4/2002,72.05882353,,74.06914894
1/5/2002,71.36696451,,
1/6/2002,70.67510549,,71.88318982
1/7/2002,70.17660395,,
1/8/2002,69.67810242,,
1/9/2002,69.17960089,,70.49803729
1/10/2002,68.67493897,,
1/11/2002,68.17027706,,
1/12/2002,67.66561514,,71.04570865
1/1/2003,68.60211447,,
1/2/2003,69.5386138,,
1/3/2003,70.47511312,,70.01411101
1/4/2003,69.65007541,,
1/5/2003,68.82503771,,
1/6/2003,68,,65.23036524
1/7/2003,67.18207283,,
1/8/2003,66.36414566,,
1/9/2003,65.54621849,,66.42999502
1/10/2003,68.11815635,,
1/11/2003,70.69009422,,
1/12/2003,73.26203209,,70.74115044
1/1/2004,71.30710815,,
1/2/2004,69.35218421,,
1/3/2004,67.39726027,,69.45054945
1/4/2004,67.11219221,,
1/5/2004,66.82712414,,
1/6/2004,66.54205607,,67.20355731
1/7/2004,68.3649939,,
1/8/2004,70.18793174,,
1/9/2004,72.01086957,,67.85869094
1/10/2004,73.48253155,,
1/11/2004,74.95419353,,
1/12/2004,76.42585551,,68.92327531
1/1/2005,77.59046325,,
1/2/2005,78.75507098,,
1/3/2005,79.91967871,,71.0990991
1/4/2005,80.05881203,,
1/5/2005,80.19794534,,
1/6/2005,80.33707865,,67.58074345
1/7/2005,78.78741023,,
1/8/2005,77.23774181,,
1/9/2005,75.68807339,,62.16166789
1/10/2005,75.23349037,,
1/11/2005,74.77890735,,
1/12/2005,74.32432432,,64.88764045
1/1/2006,76.88945103,,
1/2/2006,79.45457773,,
1/3/2006,82.01970443,,67.11919006
1/4/2006,82.40775512,,
1/5/2006,82.79580581,,
1/6/2006,83.1838565,,67.50422297
1/7/2006,82.43385505,,
1/8/2006,81.68385359,,
1/9/2006,80.93385214,,68.07709349
1/10/2006,79.31202678,,
1/11/2006,77.69020143,,
1/12/2006,76.06837607,,66.41036907
1/1/2007,76.91199131,,
1/2/2007,77.75560655,,
1/3/2007,78.59922179,,69.40425532
1/4/2007,77.35998672,,
1/5/2007,76.12075166,,
1/6/2007,74.88151659,,67.32916481
1/7/2007,72.82780411,,
1/8/2007,70.77409163,,
1/9/2007,68.72037915,,68.08127572
1/10/2007,66.87926144,,
1/11/2007,65.03814373,,
1/12/2007,63.19702602,,63.92557023
1/1/2008,62.17965986,,
1/2/2008,61.1622937,,
1/3/2008,60.14492754,,62.79748541
1/4/2008,61.52518979,,
1/5/2008,62.90545204,,
1/6/2008,64.28571429,,58.7137948
1/7/2008,63.73626374,,
1/8/2008,63.18681319,,
1/9/2008,62.63736264,76.3,59.86924035
1/10/2008,52.13754647,66.4,45.24637681
1/11/2008,46.00340136,65.1,44.46819882
1/12/2008,41.34615385,60.1,39.41256831
1/1/2009,37.92372881,59,39.41256831
1/2/2009,37.43455497,57.3,45.03284072
1/3/2009,38.16254417,56.1,43.0984556
1/4/2009,43.17269076,58.9,54.98027613
1/5/2009,52.98165138,63.1,60.34482759
1/6/2009,61.2244898,68.9,58.46477392
1/7/2009,60.61320755,70.7,58.57819905
1/8/2009,59.36170213,68.6,65.72978304
1/9/2009,65.4185022,68,68.66071429
1/10/2009,71.55555556,66,67
1/11/2009,70.97560976,67.6,68.02646086
1/12/2009,63.14655172,64.8,63.80952381
1/1/2010,64.50381679,69.8,66.97674419
1/2/2010,67.63565891,71.2,68.50706714
1/3/2010,67.28395062,75.9,69.74063401
1/4/2010,71.06481481,74.2,66.23309053
1/5/2010,71.46226415,73.8,67.29323308
1/6/2010,68.39622642,66.8,66.37080868
1/7/2010,67.33333333,65.1,65.74344023
1/8/2010,66.52173913,62,64.87068966
1/9/2010,66.09756098,65.2,63.58635864
1/10/2010,72.16216216,65,66.98564593
1/11/2010,75.34722222,68.9,64.18181818
1/12/2010,69.71830986,68.1,69.2961165
1/1/2011,69.65174129,71.1,68.83316274
1/2/2011,71.25,70.6,69.24342105
1/3/2011,73.54651163,75,69.21086675
1/4/2011,74.8502994,76.8,70.59602649
1/5/2011,74.84848485,74.6,66.64746544
1/6/2011,74.29378531,69.7,66.16766467
1/7/2011,74.51923077,67.6,67.90966387
1/8/2011,74.87922705,69.5,61.85031185
1/9/2011,74.42528736,72.2,62.88483466
1/10/2011,72.04301075,73.2,63.42182891
1/11/2011,71.63865546,74.2,63.65638767
1/12/2011,74.12280702,72,65.22210184
1/1/2012,73.59813084,70.1,65.13761468
1/2/2012,72.19626168,70.2,65.95022624
1/3/2012,74.59016393,72,67.66138855
1/4/2012,73.42857143,72.1,66.48284314
1/5/2012,71.7877095,72.2,64.76846058
1/6/2012,72.93814433,72.5,62.03947368
1/7/2012,70.25,72.3,60.93567251
1/8/2012,67.81914894,69.8,59.98902305
1/9/2012,71.15384615,67.9,62.05211726
1/10/2012,72.03389831,68.4,66.26831149
1/11/2012,68.69918699,67.2,62.67605634
1/12/2012,65.69148936,67.2,62.45865491
1/1/2013,70.38834951,65.9,65.38839725
1/2/2013,71.04072398,69.1,66.32653061
1/3/2013,66.82926829,71.8,62.83670034
1/4/2013,65.68181818,68.2,62.36691237
1/5/2013,69.04761905,66.9,62.12406015
1/6/2013,68.6440678,67.2,59.5521542
1/7/2013,67.15686275,71.1,64.46700508
1/8/2013,69.7309417,70.9,65.82217973
1/9/2013,71.22641509,71.1,64.48040886
1/10/2013,70.36199095,70.1,64.99023438
1/11/2013,71.88841202,71.7,65.73516767
1/12/2013,70.55335968,68.3,62.77589134
1/1/2014,67.45098039,63.6,63.88196176
1/2/2014,70.66115702,63.9,64.59731544
1/3/2014,73.28767123,66.4,64.07185629
1/4/2014,71.32352941,72.5,65.85585586
1/5/2014,72.64150943,69.2,67.1092952
1/6/2014,72.85067873,65.4,63.46507353
1/7/2014,69.76744186,63.2,63.01633045
1/8/2014,71.80094787,64.6,65.37678208
1/9/2014,74.06542056,68,65.65135895
1/10/2014,74.26470588,67.9,67.63392857
1/11/2014,72.66009852,62.6,65.85244267
1/12/2014,66.2037037,56,61.91737288
1/1/2015,54.79166667,55.1,63.48263254
1/2/2015,48.2,53,59.12863071
1/3/2015,48.10126582,52.7,61.46393972
1/4/2015,47.00854701,50,60.51587302
1/5/2015,45.72649573,51.3,60.61797753
1/6/2015,44.29133858,53.6,59.43970767
1/7/2015,43.88888889,54.5,58.22510823
1/8/2015,40.39735099,61.9,56.67340748
1/9/2015,34.00735294,59.9,55.99173554
1/10/2015,36.13636364,58.3,58.94465894
1/11/2015,37.35177866,52.7,58.70307167
1/12/2015,33.07692308,56.3,55.66534914
1/1/2016,28.84615385,58.7,54.28370787
1/2/2016,26.68067227,52.4,54.70262794
1/3/2016,26.47058824,47,52.28898426
1/4/2016,28.64321608,48.8,59.15178571
1/5/2016,34.63302752,51.5,58.1871345
1/6/2016,42.54385965,54.8,59.95962315
1/7/2016,46.74418605,51.1,57.63239875
1/8/2016,45.57291667,54.9,59.78441128
1/9/2016,47.09302326,54.1,58.9877836
1/10/2016,41.49484536,55.1,57.68049155
1/11/2016,37.28070175,51.3,59.39004815
1/12/2016,43.39622642,54,60.67708333
1/1/2017,47.24576271,55,60.10230179
1/2/2017,49.81684982,57.7,62.93743372
1/3/2017,55.50847458,56.3,62.94520548
1/4/2017,57.94871795,55.1,64.39509954
1/5/2017,61.88118812,49.1,66.04754829
1/6/2017,61.66666667,51.8,60.8815427
1/7/2017,57.32323232,50,60.70422535
1/8/2017,57.79569892,52.91262136,59.7733711
1/9/2017,57.65550239,50.93457944,56.85185185
1/10/2017,55.22727273,52.7027027,57.15268226
1/11/2017,56.18811881,52.3364486,59.31232092
1/12/2017,60.09174312,50.92592593,59.70042796
1/1/2018,59.42622951,53.63636364,62.73809524
1/2/2018,56.25,56.81818182,62.36722307
1/3/2018,56.25,62.01923077,60.74270557
1/4/2018,54.7,54.6,56.6
1/5/2018,53.22580645,48.98989899,62.54045307
1/6/2018,56.54450262,44.81132075,62.21804511
1/7/2018,55.77777778,50,56.79347826
1/8/2018,53.9408867,57.87037037,61.58854167
1/9/2018,54.76190476,58.5106383,61.40495868
1/10/2018,53.08641975,53.19148936,60.45801527
1/11/2018,53.84615385,49.3902439,61.17397454
1/12/2018,45.1,51.6,53.6
1/1/2019,37.5,55.2,56.1
1/2/2019,40.3,55.2,59
1/3/2019,42.1,50.8,55.9
1/4/2019,44.1,50.4,56.7
1/5/2019,51.8,49.1,59.7
1/6/2019,59,54.5,61.5
1/7/2019,57.2,54.3,57.8
1/8/2019,54.3,55.4,60.6
1/9/2019,54.1,53.1,59.3
1/10/2019,53.6,50,59.8
1/11/2019,44.7,44.1,56.1
1/12/2019,38.3,40,55.5
1/1/2020,37,42.7,55.3
1/2/2020,39.6,47.6,60.5
1/3/2020,28.6,36.3,40.3
1/4/2020,41.8,46.7,42
1/5/2020,55.4,48.3,52.9
1/6/2020,55.7,59.1,54.6
1/7/2020,58.1,58.3,61.3
1/8/2020,64.3,62.9,59.2
1/9/2020,59.2,55,59.2
1/10/2020,52,57.9,53.3
1/11/2020,48.9,59,55.7
1/12/2020,52.8,60.6,58.2
1/1/2021,60,60.9,58.7
1/2/2021,60.1,61.2,62.5
1/3/2021,59.9,64.3,68.2
